Time,Reaction 1 Event Log,Reaction 1 Stirrer 1:Speed,Reaction 1 Stirrer 1:Speed Set Point,Reaction 1 Stirrer 1:Torque,Reaction 1 Stirrer 2:Speed,Reaction 1 Stirrer 2:Speed Set Point,Reaction 1 Stirrer 2:Torque,Reaction 1 Temp Probe 1:T,Reaction 1 Temp Probe 2:T,Reaction 2 Event Log,Reaction 2 Stirrer 3:Speed,Reaction 2 Stirrer 3:Speed Set Point,Reaction 2 Stirrer 3:Torque,Reaction 2 Temp Probe 1:T
00:00:00,StepStarted Stirrer 1 - Hold Frequency at 40rpm:StepStarted Stirrer 2 - Stopped,0,,0,0,,0,69.2,74.6,StepStarted Stirrer 3 - Hold Frequency at 40rpm,0,40,0,79.8
00:00:10,StepFinished Stirrer 2 - Stopped:StepStarted Stirrer 2 - Hold Frequency at 40rpm,41,40,-7.32,0,40,0,69.2,74.5,,40,40,8.6,79.8
00:00:20,,41,40,0,41,40,0,69.2,74.4,,40,40,3,79.7
00:00:30,,41,40,-0.01,41,40,0,69.3,74.3,,40,40,10.2,79.7
00:00:40,,41,40,0.03,41,40,0,69.3,74.2,,40,40,6.3,79.7
00:00:50,,41,40,0.04,41,40,0,69.4,74.2,,40,40,9.9,79.7
00:01:00,,41,40,-0.04,41,40,0,69.4,74.2,,40,40,1.5,79.7
00:01:10,StepFinished Stirrer 1 - Hold Frequency at 40rpm:StepStarted Stirrer 1 - Hold Frequency at 40rpm,41,40,0,41,40,0,69.5,74.2,,40,40,10.4,79.7
00:01:20,,41,40,-0.02,41,40,0,69.6,74.1,,40,40,2,79.7
00:01:30,,41,40,-0.01,41,40,0,69.6,74,,40,40,11.9,79.6
00:01:40,StepFinished Stirrer 1 - Hold Frequency at 40rpm:StepStarted Stirrer 1 - Hold Frequency at 50rpm:StepFinished Stirrer 2 - Hold Frequency at 40rpm:StepStarted Stirrer 2 - Hold Frequency at 50rpm,47,50,-0.13,41,40,0,69.8,74.1,,40,40,1.2,79.7
00:01:50,,50,50,-1.23,50,50,0,70,74.1,,40,40,7.6,79.7
00:02:00,,50,50,-1.46,50,50,0,70.1,74.1,,40,40,0.7,79.6
00:02:10,,50,50,-1.47,50,50,0,70.3,74.1,,40,40,9.1,79.6
00:02:20,,50,50,-1.13,50,50,0,70.5,74.1,,40,40,2,79.5
00:02:30,,50,50,-1.37,50,50,0,70.7,74.1,,40,40,7.3,79.6
00:02:40,,50,50,-1.18,50,50,0,70.9,74.1,,40,40,2.8,79.5
00:02:50,,50,50,-0.84,50,50,0,71.1,74,,40,40,7.6,79.5
00:03:00,,50,50,-1.34,50,50,0,71.3,73.9,,40,40,1.7,79.5
00:03:10,,50,50,-1.21,50,50,0,71.5,73.9,,40,40,5.8,79.5
00:03:20,,50,50,-1.04,50,50,0,71.7,74,,40,40,-0.2,79.5
00:03:30,,50,50,-1.36,50,50,0,72,73.9,,40,40,8.9,79.5
00:03:40,,50,50,-0.97,50,50,0,72.2,74,,40,40,3,79.4
00:03:50,,50,50,-1.34,50,50,0,72.3,74,,40,40,7.3,79.4
00:04:00,,50,50,-1.49,50,50,0,72.6,74.1,,40,40,9.6,79.4
00:04:10,,50,50,-0.88,50,50,0,72.7,74.1,,40,40,8.9,79.4
00:04:20,,50,50,-1.23,50,50,0,72.9,74.1,,40,40,2,79.4
00:04:30,,50,50,-1.36,50,50,0,73.1,74.1,,40,40,4,79.4
00:04:40,,50,50,-1.01,50,50,0,73.3,74.1,,40,40,8.4,79.4
00:04:50,,50,50,-1.5,50,50,0,73.5,74.1,,40,40,2,79.4
00:05:00,,50,50,-1.33,50,50,0,73.7,74.1,,40,40,5.3,79.4
00:05:10,,50,50,-1.51,50,50,0,73.8,74.1,,40,40,7.1,79.4
00:05:20,,50,50,-1.49,50,50,0,74.1,74.2,,40,40,8.4,79.4
00:05:30,,50,50,-1.17,50,50,0,74.2,74.2,,40,40,6.6,79.4
00:05:40,,50,50,-1.33,50,50,0,74.4,74.2,,40,40,6.1,79.4
